relay,class,advertised_by_pubkeys,advertised_by_distinct_lists,connect_ms,first_response_ms,events,error
wss://nos.lol,ok_serving,138,123,579,763,1,""
wss://relay.damus.io,ok_serving,136,126,284,359,1,""
wss://relay.primal.net,ok_serving,96,88,485,635,1,""
wss://nostr.mom,ok_serving,58,53,866,1000,1,""
wss://relay.snort.social,ok_serving,44,39,499,654,1,""
wss://relay.nostr.band,timeout,42,38,,,0,"TimeoutError: timed out during opening handshake"
wss://nostr.wine,ok_serving,39,38,265,318,1,""
wss://nostr.bitcoiner.social,ok_serving,36,32,266,340,1,""
wss://purplepag.es,ok_empty,28,25,503,651,0,""
wss://nostr.land,auth_required,27,24,597,597,0,""
wss://yabu.me,ok_serving,27,25,456,579,1,""
wss://relay-jp.nostr.wirednet.jp,http_error,23,21,,,0,"InvalidStatus: server rejected WebSocket connection: HTTP 403"
wss://nostr-pub.wellorder.net,ok_serving,22,21,318,347,1,""
wss://relay.mostr.pub,ok_serving,21,20,165,198,1,""
wss://eden.nostr.land,auth_required,20,20,678,678,0,""
wss://nostr.oxtr.dev,ok_serving,19,19,619,812,1,""
wss://offchain.pub,ok_serving,18,18,193,228,1,""
wss://r.kojira.io,http_error,17,16,,,0,"InvalidStatus: server rejected WebSocket connection: HTTP 403"
wss://relay.nostr.net,ok_serving,17,13,616,787,1,""
wss://relay.ditto.pub,ok_serving,15,15,164,222,1,""
wss://nostr.data.haus,ok_serving,13,12,963,1295,1,""
wss://nostr.einundzwanzig.space,ok_serving,13,13,926,1060,1,""
wss://relay.current.fyi,dns_fail,12,12,,,0,"gaierror: [Errno -5] No address associated with hostname"
wss://relay.nostr.bg,dns_fail,11,10,,,0,"gaierror: [Errno -2] Name or service not known"
wss://no.str.cr,ok_serving,10,8,718,826,1,""
wss://relay.nostr.wirednet.jp,ok_serving,10,10,560,738,1,""
wss://theforest.nostr1.com,ok_serving,10,10,146,185,1,""
wss://relay.nostr.build,auth_required,9,9,412,412,0,""
wss://nostrelites.org,ok_serving,8,7,285,317,1,""
wss://r.ydg.works,ok_serving,8,8,607,783,1,""
wss://relay.momostr.pink,auth_required,8,8,569,569,0,""
wss://sendit.nosflare.com,http_error,8,8,,,0,"InvalidStatus: server rejected WebSocket connection: HTTP 403"
wss://atlas.nostr.land,auth_required,7,7,821,855,0,""
wss://nostr-01.yakihonne.com,ok_serving,7,7,655,889,1,""
wss://nostr.fediverse.jp,http_error,7,7,,,0,"InvalidStatus: server rejected WebSocket connection: HTTP 500"
wss://nostr.fmt.wiz.biz,timeout,7,6,,,0,"TimeoutError: timed out during opening handshake"
wss://wot.nostr.net,ok_serving,7,6,615,788,1,""
wss://cagliostr.compile-error.net,http_error,6,6,,,0,"InvalidStatus: server rejected WebSocket connection: HTTP 403"
wss://nostr21.com,ok_serving,6,6,188,250,1,""
wss://nostream.ocha.one,http_error,6,6,,,0,"InvalidStatus: server rejected WebSocket connection: HTTP 403"
wss://nrelay-jp.c-stellar.net,http_error,6,5,,,0,"InvalidStatus: server rejected WebSocket connection: HTTP 403"
wss://puravida.nostr.land,auth_required,6,6,623,623,0,""
wss://relay.bostr.online,ok_serving,6,6,439,564,1,""
wss://relay.fountain.fm,ok_serving,6,6,1390,5625,1,""
wss://relay.minibits.cash,ok_empty,6,6,740,901,0,""
wss://relay.nostrplebs.com,ok_serving,6,6,557,711,1,""
wss://relay.noswhere.com,ok_empty,6,5,679,832,0,""
wss://brb.io,http_error,5,4,,,0,"InvalidStatus: server rejected WebSocket connection: HTTP 404"
wss://nostr.cercatrova.me,tls_fail,5,5,,,0,"SSLCertVerificationError: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch; certificate is not valid for 'nostr.cercatrova.me'. (_ssl.c:1"
wss://nostr.compile-error.net,http_error,5,5,,,0,"InvalidStatus: server rejected WebSocket connection: HTTP 403"
wss://premium.primal.net,ok_serving,5,5,572,722,1,""
wss://pyramid.fiatjaf.com,auth_required,5,5,499,500,0,""
wss://relay.0xchat.com,dns_fail,5,5,,,0,"gaierror: [Errno -2] Name or service not known"
wss://relay.divine.video,ok_serving,5,5,168,256,1,""
wss://relay.nostr.com,ok_serving,5,5,526,658,1,""
wss://relay.nostr.com.au,timeout,5,5,,,0,"TimeoutError: timed out during opening handshake"
wss://relay.nostr.info,ok_empty,5,5,147,173,0,""
wss://relay.orangepill.dev,other_fail,5,5,218,,0,"ConnectionClosedError: no close frame received or sent"
wss://bitcoiner.social,ok_serving,4,4,485,546,1,""
wss://lightningrelay.com,dns_fail,4,4,,,0,"gaierror: [Errno -2] Name or service not known"
wss://nostr.milou.lol,http_error,4,4,,,0,"InvalidStatus: server rejected WebSocket connection: HTTP 200"
wss://nostr.orangepill.dev,dns_fail,4,4,,,0,"gaierror: [Errno -2] Name or service not known"
wss://nrelay.c-stellar.net,http_error,4,4,,,0,"InvalidStatus: server rejected WebSocket connection: HTTP 502"
wss://offchain.bostr.online,ok_serving,4,4,361,395,1,""
wss://purplerelay.com,ok_serving,4,3,224,290,1,""
wss://r.bitcoinhold.net,http_error,4,4,,,0,"InvalidStatus: server rejected WebSocket connection: HTTP 403"
wss://relay.damustr.com,auth_required,4,4,565,565,0,""
wss://relay.mostro.network,ok_serving,4,4,211,264,1,""
wss://relay.nos.social,ok_serving,4,4,254,308,1,""
wss://relay.nostrcheck.me,ok_serving,4,4,837,1486,1,""
wss://rilo.nostria.app,http_error,4,2,,,0,"InvalidStatus: server rejected WebSocket connection: HTTP 530"
wss://snowflare.cc,http_error,4,4,,,0,"InvalidStatus: server rejected WebSocket connection: HTTP 403"
wss://wheat.happytavern.co,auth_required,4,3,286,288,0,""
wss://wot.shaving.kiwi,ok_serving,4,3,625,782,1,""
wss://wot.utxo.one,ok_serving,4,4,311,385,1,""
wss://damus.bostr.online,ok_serving,3,3,365,463,1,""
wss://directory.yabu.me,ok_empty,3,3,696,848,0,""
wss://ditto.pub/relay,other_fail,3,3,,,0,"InvalidURI: https://relay.ditto.pub isn't a valid URI: scheme isn't ws or wss"
wss://e.nos.lol,dns_fail,3,2,,,0,"gaierror: [Errno -2] Name or service not known"
wss://nostr-01.bolt.observer,dns_fail,3,3,,,0,"gaierror: [Errno -2] Name or service not known"
